Gene1	Gene2	Age	Gene1_GC	Gene2_GC	Class
Zm00001d000006	Zm00001d000008	5.55717496048	0.536873156342	0.520648967552	Syntenic
Zm00001d000008	Zm00001d000012	1.01989919617	0.520648967552	0.489766081871	Syntenic
Zm00001d000012	Zm00001d000017	0.103188887961	0.489766081871	0.484581497797	Syntenic
Zm00001d000016	Zm00001d000020	11.7355088561	0.665327978581	0.712871287129	Syntenic
Zm00001d000017	Zm00001d000018	11.7361955285	0.484581497797	0.493392070485	Syntenic
Zm00001d000018	Zm00001d049418	0.34829635193	0.493392070485	0.494905385735	Syntenic
Zm00001d000195	Zm00001d000196	1.28436748267	0.626582278481	0.625263157895	Syntenic
Zm00001d001817	Zm00001d001818	11.4554880261	0.692022263451	0.680606060606	Syntenic
Zm00001d001833	Zm00001d001835	11.7325606319	0.703125	0.706810035842	Syntenic
Zm00001d001885	Zm00001d001887	11.7467641236	0.456876456876	0.551088777219	Syntenic
Zm00001d001902	Zm00001d001903	11.7372291689	0.54693877551	0.536184210526	Syntenic
Zm00001d001908	Zm00001d001909	11.7468475104	0.543859649123	0.5131826742	Syntenic
Zm00001d001924	Zm00001d001927	3.12995861924	0.584022038567	0.480691056911	Syntenic
Zm00001d001961	Zm00001d001963	11.7291399686	0.714486638537	0.75462962963	Syntenic
Zm00001d001963	Zm00001d001964	6.63444096788	0.75462962963	0.74358974359	Syntenic
Zm00001d002013	Zm00001d002019	11.7427121012	0.665878644602	0.608032128514	Syntenic
Zm00001d002014	Zm00001d002015	11.7288234954	0.595402298851	0.599537037037	Syntenic
Zm00001d002015	Zm00001d002016	11.7288234954	0.599537037037	0.588505747126	Syntenic
Zm00001d002016	Zm00001d002017	11.7288234954	0.588505747126	0.599537037037	Syntenic
Zm00001d002017	Zm00001d002018	11.7288234954	0.599537037037	0.577683615819	Syntenic
Zm00001d002019	Zm00001d002020	11.7427121012	0.608032128514	0.605566870333	Syntenic
Zm00001d002020	Zm00001d026488	0.961936850439	0.605566870333	0.683046683047	Syntenic
Zm00001d002055	Zm00001d002057	6.27712403349	0.670309653916	0.664930555556	Syntenic
Zm00001d002066	Zm00001d002067	11.7380552059	0.705357142857	0.668549905838	Syntenic
Zm00001d002069	Zm00001d002071	11.7227482523	0.72480620155	0.745098039216	Syntenic
Zm00001d002071	Zm00001d002072	11.7227482523	0.745098039216	0.714689265537	Syntenic
Zm00001d002072	Zm00001d002074	3.40596462792	0.714689265537	0.762820512821	Syntenic
Zm00001d002074	Zm00001d026454	2.57862030635	0.762820512821	0.742424242424	Syntenic
Zm00001d002093	Zm00001d002094	4.03071640588	0.730046948357	0.683006535948	Syntenic
Zm00001d002137	Zm00001d002138	11.733504713	0.689976689977	0.687074829932	Syntenic
Zm00001d002158	Zm00001d002159	8.27523028566	0.715355805243	0.687943262411	Syntenic
Zm00001d002159	Zm00001d002160	8.27523028566	0.687943262411	0.716049382716	Syntenic
Zm00001d002160	Zm00001d002161	10.1730279314	0.716049382716	0.738317757009	Syntenic
