OrthogroupID	Null_lnL	Ha1_lnL	Ha2_lnL	Ha3_lnL	Ha1_v_Null	Ha2_v_Null	Ha3_v_Null	Ha3_v_Ha1	Ha3_v_Ha2	Null_Kappa	Null_Omega0	Null_PropOmega0	Null_Omega1	Null_PropOmega1	Null_Omega2	Null_PropOmega2	Ha1_Kappa	Ha1_Omega0_Grass	Ha1_Omega0_Maize	Ha1_PropOmega0	Ha1_Omega1_Grass	Ha1_Omega1_Maize	Ha1_PropOmega1	Ha1_Omega2_Grass	Ha1_Omega2_Maize	Ha1_PropOmega2	Ha2_Kappa	Ha2_Omega0_Grass	Ha2_Omega0_Tandem	Ha2_PropOmega0	Ha2_Omega1_Grass	Ha2_Omega1_Tandem	Ha2_PropOmega1	Ha2_Omega2_Grass	Ha2_Omega2_Tandem	Ha2_PropOmega2	Ha3_Kappa	Ha3_Omega0_Grass	Ha3_Omega0_Tandem	Ha3_Omega0_Maize	Ha3_PropOmega0	Ha3_Omega1_Grass	Ha3_Omega1_Tandem	Ha3_Omega1_Maize	Ha3_PropOmega1	Ha3_Omega2_Grass	Ha3_Omega2_Tandem	Ha3_Omega2_Maize	Ha3_PropOmega2
OG0001507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0001514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0001562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0001601	-9254.654772	-9254.572542	-9253.574772	-9253.243971	0.685083061046	0.141644690295	0.243947802684	0.10308580914	0.415994946143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0001644	-15984.455776	-15977.119641	-15983.180684	-15976.764557	0.000127914362424	0.11028141112	0.000456820967429	0.399388045612	0.000340695090522	NA	NA	NA	NA	NA	NA	NA	1.94197	0.0265	0.0265	0.51315	1.0	1.0	0.07842	0.2776	0.06808	0.40843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0001653	-6640.860267	-6633.997516	-6640.188682	-6633.769488	0.000211562212731	0.246475705093	0.000832748401863	0.499472998356	0.000339580035936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0001654	-9422.460664	-9421.315063	-9422.456052	-9421.276111	0.130109127322	0.923487487454	0.305882878591	0.780158198661	0.124491605619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0001738	-10007.859767	-10007.457786	-10007.808238	-10007.447767	0.369911430381	0.748190324981	0.662324276052	0.887431005944	0.39583508983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0001745	-34075.280591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0001972	-11154.027221	-11153.989716	-11152.667076	-11152.575531	0.78417719875	0.0990800126218	0.234174199096	0.0926123139299	0.66873108212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
